data_hora,protocolo,ip_origem,ip_destino,numero_protocolo,info_adicional,tamanho_total_bytes
2025-11-23 18:55:04,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:05,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:06,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:07,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:07,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:08,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:09,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:10,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:10,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:11,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:12,ICMP,172.31.66.102,8.8.8.8,1,type=8 code=0,84
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 18:55:13,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,112
2025-11-23 19:08:11,IPv6,fe80::36f2:e01b:75e8:7bc6,ff02::2,58,,8
2025-11-23 19:10:55,IPv6,fe80::bb4b:8f7d:3d2c:99ac,ff02::2,58,,8
2025-11-23 19:10:58,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:10:59,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:11:00,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:01,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:01,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:04,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:11:04,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:27,IPv4,172.31.66.102,199.232.18.132,6,,60
2025-11-23 19:13:28,IPv4,172.31.66.102,199.232.18.132,6,,60
2025-11-23 19:13:29,IPv4,172.31.66.102,199.232.18.132,6,,60
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:30,IPv4,172.31.66.102,199.232.18.132,6,,60
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:30,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:33,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:13:33,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:11,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:14:12,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:14:13,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:14,IPv4,172.31.66.102,93.184.216.34,6,,60
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:14,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:17,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:17,ICMP,172.30.0.2,172.31.66.102,1,type=3 code=1,88
2025-11-23 19:14:41,ICMP,172.31.66.101,8.8.8.8,1,type=8 code=0,84
2025-11-23 19:14:42,ICMP,172.31.66.101,8.8.8.8,1,type=8 code=0,84
2025-11-23 19:14:43,ICMP,172.31.66.101,8.8.8.8,1,type=8 code=0,84
2025-11-23 19:14:44,ICMP,172.30.0.2,172.31.66.101,1,type=3 code=1,112
2025-11-23 19:14:44,ICMP,172.30.0.2,172.31.66.101,1,type=3 code=1,112
