data_hora,protocolo,ip_origem,porta_origem,ip_destino,porta_destino,tamanho_total_bytes
2025-11-23 19:10:58,TCP,172.31.66.102,53064,93.184.216.34,80,60
2025-11-23 19:10:59,TCP,172.31.66.102,53064,93.184.216.34,80,60
2025-11-23 19:11:00,TCP,172.31.66.102,53064,93.184.216.34,80,60
2025-11-23 19:11:01,TCP,172.31.66.102,53064,93.184.216.34,80,60
2025-11-23 19:13:27,TCP,172.31.66.102,52060,199.232.18.132,80,60
2025-11-23 19:13:28,TCP,172.31.66.102,52060,199.232.18.132,80,60
2025-11-23 19:13:29,TCP,172.31.66.102,52060,199.232.18.132,80,60
2025-11-23 19:13:30,TCP,172.31.66.102,52060,199.232.18.132,80,60
2025-11-23 19:14:11,TCP,172.31.66.102,36146,93.184.216.34,80,60
2025-11-23 19:14:12,TCP,172.31.66.102,36146,93.184.216.34,80,60
2025-11-23 19:14:13,TCP,172.31.66.102,36146,93.184.216.34,80,60
2025-11-23 19:14:14,TCP,172.31.66.102,36146,93.184.216.34,80,60
2025-11-23 19:24:42,TCP,172.31.66.102,54768,199.232.18.132,80,60
2025-11-23 19:24:43,TCP,172.31.66.102,54768,199.232.18.132,80,60
2025-11-23 19:24:44,TCP,172.31.66.102,54768,199.232.18.132,80,60
2025-11-23 19:24:45,TCP,172.31.66.102,54768,199.232.18.132,80,60
2025-11-23 21:11:44,UDP,172.31.66.102,45889,8.8.8.8,53,33
2025-11-23 21:12:40,UDP,172.31.66.102,53905,172.31.66.1,123,33
2025-11-23 21:12:49,UDP,172.31.66.102,40508,172.31.66.1,67,33
2025-11-23 21:12:59,UDP,172.31.66.102,57315,172.31.66.1,68,33
2025-11-23 21:14:10,UDP,172.31.66.102,41363,172.31.66.1,53,33
2025-11-23 21:15:30,TCP,172.31.66.102,54834,199.232.18.132,80,60
2025-11-23 21:15:31,TCP,172.31.66.102,54834,199.232.18.132,80,60
2025-11-23 21:15:32,TCP,172.31.66.102,54834,199.232.18.132,80,60
2025-11-23 21:15:33,TCP,172.31.66.102,54834,199.232.18.132,80,60
